DZ,HB,Easting,Northing,urban,JSA2011,workpop2011
S01000447,Grampian,372073.575,835860.3373,5,8,433
S01000448,Grampian,373294.6731,836094.7194,5,5,487
S01000449,Grampian,408584.1637,836289.8057,5,10,467
S01000450,Grampian,409035.4577,836674.4405,5,8,356
S01000451,Grampian,385169.5069,836910.1399,5,5,534
S01000452,Grampian,377836.349,837174.2642,5,5,407
S01000453,Grampian,365303.2891,837294.8672,6,0,384
S01000454,Grampian,376260.3362,837769.9099,5,5,249
S01000455,Grampian,407517.5763,839183.0284,5,10,510
S01000456,Grampian,355274.7732,839430.623,6,5,668
S01000457,Grampian,352865.5477,839531.2709,4,5,430
S01000458,Grampian,393829.6418,839637.7382,6,3,619
S01000459,Grampian,353454.9921,839760.9291,4,20,545
S01000460,Grampian,352167.283,839772.7249,4,20,408
S01000461,Grampian,352694.8107,839791.5005,4,18,454
S01000462,Grampian,352554.2686,840341.5837,4,13,583
S01000463,Grampian,412313.0943,841485.0816,5,10,414
S01000464,Grampian,346053.2394,841850.4602,6,10,543
S01000465,Grampian,387752.259,842094.2104,6,0,406
S01000466,Grampian,369249.49,842327.9111,6,5,538
S01000467,Grampian,413278.9579,842342.6373,5,15,421
S01000468,Grampian,380428.3999,842795.9258,6,0,349
S01000469,Grampian,411964.8805,844508.0596,2,5,432
S01000470,Grampian,412518.8332,844615.6414,2,5,581
S01000471,Grampian,405021.1141,844676.202,5,8,486
S01000472,Grampian,411788.8617,845210.714,2,10,465
S01000473,Grampian,412043.8656,845444.9852,2,15,385
S01000474,Grampian,363440.2847,845482.2228,6,5,412
S01000475,Grampian,411720.3461,845547.3298,2,10,502
S01000476,Grampian,397460.6777,845627.7206,5,3,449
S01000477,Grampian,411484.2183,845643.6467,2,10,393
S01000478,Grampian,412468.7857,845883.3746,2,18,429
S01000479,Grampian,411845.1353,845955.4288,2,20,482
S01000480,Grampian,397372.561,845956.2183,5,3,417
S01000481,Grampian,409783.4703,846133.9143,5,15,1315
S01000482,Grampian,413672.4962,846180.5113,2,35,515
S01000483,Grampian,412143.7669,846187.1141,2,25,526
S01000484,Grampian,412969.5584,846237.8868,2,35,539
S01000485,Grampian,411509.5631,846258.1008,2,5,608
S01000486,Grampian,413258.4942,846370.307,2,83,740
S01000487,Grampian,412583.6745,846404.1461,2,5,289
S01000488,Grampian,411223.2116,846583.5196,2,8,343
S01000489,Grampian,412330.9256,846669.2916,2,30,521
S01000490,Grampian,411570.4018,846897.0633,2,5,332
S01000491,Grampian,412903.361,846914.8396,2,25,363
S01000492,Grampian,412435.6148,847040.2399,2,15,573
S01000493,Grampian,388614.585,847068.9345,5,5,401
S01000494,Grampian,412684.3085,847108.1671,2,15,330
S01000495,Grampian,412018.8129,847142.6118,2,5,473
S01000496,Grampian,411137.6288,847553.8359,2,0,341
